id,name
HOFI,House Finch
HOGR,Horned Grebe
HOLA,Horned Lark
HOME,Hooded Merganser
HOOR,Hooded Oriole
HORE,Hoary Redpoll
HOSP,House Sparrow
HOWA,Hooded Warbler
HOWR,House Wren
HUGO,Hudsonian Godwit
ICGU,Iceland Gull
INBU,Indigo Bunting
INDO,Inca Dove
IVGU,Ivory Gull
KEGU,Kelp Gull
KEWA,Kentucky Warbler
KIEI,King Eider
KILL,Killdeer
KIRA,King Rail
KIWA,Kirtland's Warbler
LAGU,Laughing Gull
LALO,Lapland Longspur
LARB,Lark Bunting
LASP,Lark Sparrow
LAZB,Lazuli Bunting
LBBG,Lesser Black-backed Gull
LBCU,Long-billed Curlew
LBDO,Long-billed Dowitcher
LBHE,Little Blue Heron
LBMU,Long-billed Murrelet
LCSP,LeConte's Sparrow
LEBI,Least Bittern
LEFL,Least Flycatcher
LEGO,Lesser Goldfinch
LENI,Lesser Nighthawk
LEOW,Long-eared Owl
LESA,Least Sandpiper
LESC,Lesser Scaup
LETE,Least Tern
LEWO,Lewis's Woodpecker
LEYE,Lesser Yellowlegs
LHSP,Leach's Storm-Petrel
LIEG,Little Egret
LIGU,Little Gull
LISP,Lincoln's Sparrow
LIST,Little Stint
LOSH,Loggerhead Shrike
LOWA,Louisiana Waterthrush
LTDU,Long-tailed Duck
LTJA,Long-tailed Jaeger
MAFR,Magnificent Frigatebird
MAGO,Marbled Godwit
MALL,Mallard
MASH,Manx Shearwater
MAWA,Magnolia Warbler
MAWR,Marsh Wren
MCLO,McCown's Longspur
MEGU,Mew Gull
MERL,Merlin
MGWA,MacGillivray's Warbler
MIKI,Mississippi Kite
MOBL,Mountain Bluebird
MODO,Mourning Dove
MODU,Mottled Duck
MONP,Lesser Sand-Plover
MOWA,Mourning Warbler
MUSW,Mute Swan
NAWA,Nashville Warbler
NECO,Neotropic Cormorant
NHOW,Northern Hawk Owl
NOBO,Northern Bobwhite
NOCA,Northern Cardinal
NOFL,Northern Flicker
NOFU,Northern Fulmar
NOGA,Northern Gannet
NOGO,Northern Goshawk
NOHA,Northern Harrier
