sort,UniqueID,SurveyDate,Time,Visit,Observer,SurveyType,NoiseLevel,SPECIES,Count,TimeInterval,DISTANCE,FID,Strata,Plot,Station,Latitude,Longitude,Join_Count,YearLoss,Class_Name,ModisLCC,FIRENAME,YEAR,Disturbance,PKEY,PKEYm,Noise,JULIAN,JDAY,srise,start_time,TSSR,Interval,SS,RandomSel
19,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,HUM,Moderate,HETH,1,0-1 min,0-49 m,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_H,2,172,0.471232877,4.216720441,8.483333333,0.177775537,0-3 min,5.041,1
20,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,HUM,Moderate,DEJU,1,2-3 min,0-49 m,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_H,2,172,0.471232877,4.216720441,8.483333333,0.177775537,0-3 min,5.041,1
21,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,HUM,Moderate,MYWA,1,3-4 min,0-49 m,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_H,2,172,0.471232877,4.216720441,8.483333333,0.177775537,3-5 min,5.041,1
22,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,HUM,Moderate,RESQ,1,8-9 min,>100 m,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_H,2,172,0.471232877,4.216720441,8.483333333,0.177775537,5-10 min,5.041,1
23,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,HUM,Moderate,YBFL,1,0-1 min,50-100 m,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_H,2,172,0.471232877,4.216720441,8.483333333,0.177775537,0-3 min,5.041,1
24,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,HUM,Moderate,MYWA,2,1-2 min,50-100 m,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_H,2,172,0.471232877,4.216720441,8.483333333,0.177775537,0-3 min,5.041,1
25,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,HUM,Moderate,MYWA,1,0-1 min,50-100 m,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_H,2,172,0.471232877,4.216720441,8.483333333,0.177775537,0-3 min,5.041,1
26,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,HUM,Moderate,CHSP,1,7-8 min,50-100 m,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_H,2,172,0.471232877,4.216720441,8.483333333,0.177775537,5-10 min,5.041,1
27,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,HUM,Moderate,YBFL,1,8-9 min,50-100 m,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_H,2,172,0.471232877,4.216720441,8.483333333,0.177775537,5-10 min,5.041,1
28,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,HUM,Moderate,TEWA,1,0-1 min,0-49 m,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_H,2,172,0.471232877,4.216720441,8.483333333,0.177775537,0-3 min,5.041,1
